"Latest: Time (s)","Latest: Radiation (Counts)"
5,2
10,5
15,1
20,5
25,1
30,4
35,0
40,1
45,2
50,3
55,2
60,2
65,2
70,1
75,4
80,3
85,3
90,4
95,5
100,3
105,2
110,5
115,2
120,3
125,2
130,1
135,1
140,3
145,2
150,2
155,1
160,2
165,2
170,5
175,0
180,2
185,0
190,0
195,1
200,1
205,2
210,2
215,0
220,2
225,2
230,2
235,2
240,3
245,2
250,1
255,1
260,4
265,0
270,1
275,2
280,3
285,1
290,4
295,0
300,1
305,1
310,0
315,2
320,2
325,1
330,1
335,2
340,1
345,2
350,3
355,0
360,2
365,2
370,4
375,1
380,2
385,2
390,2
395,1
400,3
405,1
410,1
415,0
420,4
425,1
430,2
435,4
440,1
445,2
450,1
455,4
460,1
465,1
470,1
475,1
480,4
485,1
490,1
495,4
500,2
505,0
510,1
515,0
520,2
525,0
530,2
535,2
540,2
545,0
550,2
555,2
560,0
565,3
570,1
575,2
580,1
585,2
590,0
595,1
600,2
